Exam,Section(s),Day,Date,"Start
Time","End
Time",Location
ACTSC 231,001,Tuesday,"April 22, 2014",9:00 AM,11:30 AM,M3 1006
ACTSC 232,001,Monday,"April 14, 2014",4:00 PM,6:30 PM,"PAC 8,10"
ACTSC 331,001,Saturday,"April 12, 2014",12:30 PM,3:00 PM,PAC 1
ACTSC 371,001,Thursday,"April 24, 2014",4:00 PM,6:30 PM,"PAC 1,2"
ACTSC 372,001,Thursday,"April 24, 2014",12:30 PM,3:00 PM,"PAC 4,5"
ACTSC 433,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,"RCH 103,105"
ACTSC 446,001,Wednesday,"April 16, 2014",4:00 PM,6:30 PM,M3 1006
ACTSC 455,001,Tuesday,"April 8, 2014",7:30 PM,10:00 PM,RCH 306
ACTSC 462,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,M3 1006
ACTSC 833,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,"RCH 103,105"
ACTSC 846,001,Wednesday,"April 16, 2014",4:00 PM,6:30 PM,M3 1006
ACTSC 855,001,Tuesday,"April 8, 2014",7:30 PM,10:00 PM,RCH 306
ACTSC 862,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,M3 1006
AFM 101,001,Saturday,"April 12, 2014",9:00 AM,11:30 AM,M3 1006
AFM 102,001 to 005,Friday,"April 11, 2014",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8"
AFM 121,001 to 006,Thursday,"April 17, 2014",9:00 AM,11:00 AM,"DC 1350,1351, M3 1006"
AFM 123,003,Friday,"April 11, 2014",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6"
AFM 131,001,Thursday,"April 17, 2014",7:30 PM,10:00 PM,DC 1350
AFM 131,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
AFM 231,001,Tuesday,"April 15, 2014",4:00 PM,6:00 PM,M3 1006
AFM 372,001,Friday,"April 11, 2014",9:00 AM,11:30 AM,RCH 205
AFM 451,001 to 003,Wednesday,"April 9, 2014",9:00 AM,11:30 AM,"CPH 1346, E2 1310"
AFM 452,001,Exam removed from the schedule. Contact instructor for further information,,,,
AFM 472,"001,002",Tuesday,"April 22, 2014",9:00 AM,10:30 AM,E2 1310
AFM 475,001,Wednesday,"April 23, 2014",12:30 PM,3:00 PM,PAC 4
AFM 481,001 to 003,Thursday,"April 17, 2014",4:00 PM,6:30 PM,"PAC 1,2"
AFM 491,001 to 003,Monday,"April 14, 2014",9:00 AM,11:30 AM,M3 1006
AHS 150,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
AMATH 231,001,Exam removed from the schedule. Contact instructor for further information,,,,
AMATH 242,001,Thursday,"April 10, 2014",7:30 PM,10:00 PM,PAC 6
AMATH 250,001,Wednesday,"April 23, 2014",4:00 PM,6:30 PM,"PAC 1,2"
AMATH 331,001,Thursday,"April 24, 2014",12:30 PM,3:00 PM,PAC 3
AMATH 332,001,Tuesday,"April 22, 2014",4:00 PM,6:30 PM,PAC 3
AMATH 342,001,Monday,"April 14, 2014",4:00 PM,6:30 PM,MC 4041
AMATH 350,001,Tuesday,"April 15, 2014",4:00 PM,6:30 PM,"PAC 11,12"
AMATH 353,001,Wednesday,"April 16, 2014",9:00 AM,11:30 AM,RCH 211
AMATH 361,001,Monday,"April 21, 2014",9:00 AM,11:30 AM,MC 4041
AMATH 373,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,RCH 205
AMATH 451,001,Tuesday,"April 22, 2014",9:00 AM,11:30 AM,PAC 9
AMATH 455,001,Saturday,"April 12, 2014",9:00 AM,11:30 AM,MC 4040
AMATH 475,001,Wednesday,"April 16, 2014",4:00 PM,6:30 PM,PAC 11
AMATH 655,001,Saturday,"April 12, 2014",9:00 AM,11:30 AM,MC 4040
AMATH 675,001,Wednesday,"April 16, 2014",4:00 PM,6:30 PM,PAC 11
ANTH 101,001,Wednesday,"April 23, 2014",9:00 AM,11:00 AM,"DC 1350,1351"
ANTH 102,001,Wednesday,"April 23, 2014",7:30 PM,9:30 PM,"PAC 5,6"
ANTH 201,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,PAS 1229
ANTH 202,001,Tuesday,"April 22, 2014",7:30 PM,10:00 PM,PAS 2086
ANTH 330,001,Tuesday,"April 15, 2014",4:00 PM,6:00 PM,PAS 1229
ANTH 348,001,Friday,"April 11, 2014",12:30 PM,3:00 PM,PAS 2086
ANTH 440,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,PAS 1241
ANTH 455,001,Exam removed from the schedule. Contact instructor for further information,,,,
APPLS 304R,001,Wednesday,"April 9, 2014",4:00 PM,6:30 PM,REN 2102
APPLS 306R,001,Wednesday,"April 23, 2014",7:30 PM,10:00 PM,REN 2102
ARBUS 102,001 to 003,Friday,"April 11, 2014",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6"
ARBUS 202,001,Wednesday,"April 16, 2014",12:30 PM,3:00 PM,"RCH 103,105,106"
ARBUS 202,002,Wednesday,"April 16, 2014",12:30 PM,3:00 PM,"RCH 109,110,112"
ARBUS 202,003,Wednesday,"April 16, 2014",12:30 PM,3:00 PM,"RCH 307,308,309"
ARBUS 202,004,Wednesday,"April 16, 2014",12:30 PM,3:00 PM,"RCH 301,302"
ARBUS 302,001,Thursday,"April 10, 2014",7:30 PM,10:00 PM,PAC 4
ARBUS 302,002,Thursday,"April 10, 2014",7:30 PM,10:00 PM,PAC 5
ARBUS 302,"003,004",Thursday,"April 10, 2014",7:30 PM,10:00 PM,"PAC 7,8"
ARTS 280,001,Wednesday,"April 9, 2014",4:00 PM,6:30 PM,PAC 8
BIOL 112,001,Monday,"April 21, 2014",7:30 PM,10:00 PM,PAC 7
BIOL 120,001,Tuesday,"April 15, 2014",12:30 PM,3:00 PM,"PAC 7,8,11,12"
BIOL 130,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,DC 1350
BIOL 165,001,Thursday,"April 24, 2014",9:00 AM,11:30 AM,"PAC 4,5,6,7"
BIOL 211,001,Thursday,"April 10, 2014",4:00 PM,6:30 PM,M3 1006
BIOL 239,001 to 003,Thursday,"April 17, 2014",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12"
BIOL 240,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
BIOL 241,001,Wednesday,"April 23, 2014",4:00 PM,6:30 PM,"PAC 7,8,11,12"
BIOL 273,"001,002",Monday,"April 21, 2014",9:00 AM,11:30 AM,"PAC 1,4,5,6,7,8,11,12"
BIOL 273L,001 to 010,Tuesday,"April 15, 2014",7:30 PM,8:30 PM,"PAC 1,2,4"
BIOL 280,001,Thursday,"April 17, 2014",7:30 PM,10:00 PM,MC 2038
BIOL 301,001,Wednesday,"April 16, 2014",4:00 PM,6:30 PM,"PAC 6,7,8,9"
BIOL 331,001,Tuesday,"April 15, 2014",9:00 AM,11:30 AM,M3 1006
BIOL 335L,"001,002",Monday,"April 14, 2014",9:00 AM,11:30 AM,RCH 308
BIOL 346,001,Friday,"April 11, 2014",9:00 AM,11:30 AM,RCH 110
BIOL 351,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,PAC 8
BIOL 359,001,Thursday,"April 17, 2014",4:00 PM,6:30 PM,"PAC 7,8,11,12"
